GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mock-identity-system,io.mosip.esignet.mock.identitysystem.service.impl,IdentityServiceImpl,92,0,4,0,24,0,5,0,3,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.service.impl,AuthenticationServiceImpl,919,253,109,21,191,58,80,11,13,6
mock-identity-system,io.mosip.esignet.mock.identitysystem.util,Constants,3,0,0,0,1,0,1,0,1,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.util,ErrorConstants,3,0,0,0,1,0,1,0,1,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.util,HelperUtil,96,32,6,0,17,9,11,3,8,3
mock-identity-system,io.mosip.esignet.mock.identitysystem.exception,MockIdentityException,10,7,0,0,4,3,2,1,2,1
mock-identity-system,io.mosip.esignet.mock.identitysystem,MockIdentitySystemApplication,5,3,0,0,2,1,1,1,1,1
mock-identity-system,io.mosip.esignet.mock.identitysystem.validator,RequestTimeValidator,6,35,4,4,3,5,4,2,0,2
mock-identity-system,io.mosip.esignet.mock.identitysystem.validator,IdentityDataValidator,2,24,1,1,1,5,1,2,0,2
mock-identity-system,io.mosip.esignet.mock.identitysystem.advice,AppConfig,55,0,0,0,16,0,4,0,4,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.advice,ExceptionHandlerAdvice,152,70,11,3,28,14,12,6,6,5
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,IdentityData,492,423,135,47,0,23,93,47,2,47
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,KycExchangeRequestDto,275,0,54,0,7,0,44,0,17,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,IdentityStatus,65,10,14,0,0,2,11,3,4,3
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,Error,109,15,22,0,2,3,18,3,7,3
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,SendOtpDto,155,0,30,0,4,0,26,0,11,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,SendOtpResult,164,0,30,0,5,0,26,0,11,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,BiometricData,79,68,16,8,0,4,14,9,2,9
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,KycExchangeResponseDto,75,0,14,0,2,0,14,0,7,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,RequestWrapper,98,17,22,0,0,3,15,5,4,5
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,Identity,555,0,110,0,14,0,86,0,31,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,KycAuthResponseDto,124,18,26,0,2,2,19,5,6,5
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,Valid,0,34,0,0,0,2,0,1,0,1
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,KycAuthRequestDto,279,36,62,0,0,8,39,11,8,11
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,ResponseWrapper,131,29,30,0,0,4,19,7,4,7
mock-identity-system,io.mosip.esignet.mock.identitysystem.dto,LanguageValue,56,59,15,7,0,3,13,7,2,7
mock-identity-system,io.mosip.esignet.mock.identitysystem.entity,MockIdentity,115,0,22,0,3,0,20,0,9,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.entity,KycAuth,39,30,0,0,7,4,11,4,11,4
mock-identity-system,io.mosip.esignet.mock.identitysystem.controller,AuthController,45,0,0,0,10,0,4,0,4,0
mock-identity-system,io.mosip.esignet.mock.identitysystem.controller,IdentityController,0,43,0,0,0,12,0,3,0,3
